Year,CA,US,EU,VE,Asia,NO,AU,ET,CN,CH,NZ,UY,AQ,ML,BR,MD,MU,AR,CL,IS,TG,NC,KE,HT,ZA,CG,TK,PA,AX,FJ,TV,MA,RU,MX,RW,MW,UG,VA,EG,PR,GA,CR,BW,NA,GH,CO,AL,TC,TF,SN,UM,CD,BJ,NG,CI,TN,UA,CC,DZ,AD,SC,TZ,LS,GN,AI,KN,CF,CM,SL,TT,GT,GM,CU,PG,ZW,BZ,GU,NE,PY,LC,BB,DO,SV,SD,CK,BF,EH,BO,SX,NI,AO,CW,PE,NR,JM,ER,EC,BI,LR,MR,GD,ZM,RS,MK,VG,PS,SR,CV,LY,SO,VU,TO,BA,AG,HN,SS,BY,GY,DM,WS,MZ,ME,TL,,KY,CX,TD
72,35,430,391,1,210,12,13,1,65,9,1,3,1,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,27,491,232,1,133,9,9,,28,7,2,1,1,,3,2,,1,1,,1,2,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,38,654,265,,137,12,11,,38,9,4,2,1,,4,,,1,,,1,,1,,,,,,,,,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,22,398,394,1,152,11,8,,102,13,1,3,,,5,,1,,1,,,,1,,1,1,,,,,,2,2,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,19,307,216,,469,4,12,1,100,5,4,1,,,6,,1,1,1,,,,,,,,,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,42,663,239,,155,6,9,1,103,8,3,,,,6,,1,,,,2,,,,,,,1,,1,,1,1,3,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,30,391,419,1,161,10,13,1,128,12,4,2,1,,6,1,2,,1,,1,,,,,,,,,,,,1,2,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,24,346,218,2,186,7,8,,375,7,4,,,,8,,2,2,,,,,1,,4,,,,,,,,1,5,,,1,,,,,1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,36,464,451,,133,13,12,1,153,11,5,2,1,,6,1,1,1,1,1,,,,,,,,1,,,,,2,4,,,2,,,,,,,,,,,,,4,,2,,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,75,554,245,,152,6,12,,149,10,4,2,,,7,,2,,1,,,,,1,,1,,1,,,,1,1,,,,1,,,,,,,,3,,,,,2,1,9,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
